Peak,Secondary Peak,Route Name,Climb Grade,Elevation Gain,Driving Distance (Miles),Driving Time (Hours),Typical Duration,Typical Season,Glaciated Peak,Rock Skills Required,Snow Angle,Rappelling Required,Crevasse Rescue Skills Required,Typical Gear,Notes,Guide Books,Phone Numbers
Mt. Temple,,North Face,D,6900,270,5,2,summerautumn,FALSE,5,,TRUE,FALSE,Rock,"On a ridgeline shared with needle-like spires with names like The Meteor, Comet Spire, Razorback Spire, and The Blop, Mt. Temple is the high point on the ridge continuation above the popular Prusik Peak . It guards the Snow Lakes entrance to the Enchantment Basin , and commands a spectacular view of the fantastic needles, spires, and lakes that the Stuart Range has gathered together for our exploration.",Cascade Alpine Guide: Columbia River to Stevens Pass ÌÄåÎÌÄå__ by Fred Beckey,USFS Leavenworth Ranger station: 509-548-6997 Call for mandatory wilderness permits
Mt. Temple,,SW Ridge,B,5000,900,15,1,summerautumn,TRUE,3,,FALSE,FALSE,Scramble,"Start from Moraine Lake. Get on the Larch Valley/Sentinel Pass Trail that starts just past the canoe docks on the north side of the lake. Follow the great trail all the way up to Sentinel Pass (2-3 hours) From the pass hike right up the ridge, maybe slightly on the right side of it. Follow a faint, crumbly trail up the 1st gully to the right of the ridge. Follow it to the top, when the gully hits a steep wall. Hike below the wall to the right into short gully. Go up this onto a scree slope. Keep going up, going past another wall to the right. Either climb right up onto the ridge or stay slightly below it on the right and continue going up and finally onto a sloping ridge crest. Follow this up and onto the summit.",,Banff National Park. Banff Warden Office 403 762 1470 for route info.
Mt. Terror,,North Face,D,7000,350,7,2,summerautumn,TRUE,5,over50,TRUE,TRUE,rockandsnow,"Mt Terror is the highest peak in the southern Picket range, one of the most rugged and beautiful parts of the North Cascades.",Cascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey Climbs in the Cascades Vol. 2 by Nelson and Potterfield,Marblemount National Park Service Ranger Station: 360-873-4590
Mt. Thielsen,,West Ridge/Standard Route,B,3800,250,5,1,summerautumn,TRUE,4,,FALSE,FALSE,Scramble,"The most commonly misspelled peak in Oregon and one of a handful of alpine rock routes, this is a fairly easy day climb. It may look quite challenging from the start, but the technical climbing is just one pitch of easy 5th class solid rock at the top.  Wearing old gaitors or duct taping your boot tops is recommended for the scree descent.",Oregon High by Jeff Thomas,none
Mt. Thompson,,West Ridge,D,3600,200,5,2,summerautumn,FALSE,5,,FALSE,FALSE,Rock,"This route has a long but moderate approach on the Pacific Crest Trail, a bit of routefinding and 4th class to get to the base of the route, and then about 4 pitches of up to 5.6 rock climbing on an exposed ridge.  A nice two day alpine rock outing.  Don't leave valuables in your car at this trailhead, and don't follow the Beckey route description!","Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey Climbs in the Cascades, Vol 2 by Nelson and Potterfield","Mt. Baker-Snoqualmie National Forest, North Bend District office 206-888-1421"
Mt. Thompson,,Grizzly Meadows  ,A,,400,6,2,summerautumn,FALSE,3,,FALSE,FALSE,Scramble,"Mt. Thompson is the highest peak in the Trinity Alps in Northern California.  The Alps are very similar to the Wallowas but with more trees, good granite, great lakes and views.  Easy climb, challenging hike in (like the Longs pass trail into Stuart).  ", Hiking Californias Trinity Alps Wilderness by Dennis Lewon The Trinity Alps by Luther Linkhart Wilderness Press,USFS 530-623-1768 (backcountry ranger)
Mt. Townsend,,Townsend Creek,A,2880,217,4,1,summerautumn,FALSE,3,,FALSE,FALSE,Scramble,none yet,Climbers Guide to the Olympic Mountains by Olympic Mountain Rescue ,none
Mt. Triumph,,NE Ridge,E,5700,320,6,2,summerautumn,TRUE,5,35to50,TRUE,FALSE,rockandsnow,"This is an exhilarating and exposed classic alpine ridge rock in the heart of the North Cascades, with about 10 pitches of up to 5.6 climbing and a lot of double rope raps on the way down.  Small, competent parties are best on this route.  Watch for afternoon thunderstorms!  Move fast and watch for rope snags on the raps.",Cascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey,Marblemount NPS Ranger Station 360-873-4590
Mt. Tyndall,,North Ridge,B,7715,750,13,2,summerautumn,FALSE,3,,FALSE,FALSE,Scramble,From Shepard's Pass trail head follow the trail ~7 miles to Shepard's Pass at 12000'. This can be broken up into 2 days by staying at Anvil Camp at 10800'. Follow the prominent ridge ~0.5 W of the pass to the summit. Tyndall is typically done with Mt Williamson in a 4-5 day trip. A permit is required- either reserved 6 months ahead or take your chances with a walk in day of your climb.,Climbing California Fourteeners - Porcella and Burns,"Inyo National Forest, Bishop, CA 760-873-2400"
Mt. Washington,,West Face,D,3500,140,2.5,1,summerautumn,FALSE,5,,TRUE,FALSE,Rock,This is a multi pitch 5th class route on crumbly crap rock.  Numerous serious accidents have happened on this route.  Go climb somewhere else.,Ref. Page 76 ofOregon High by Jeff Thomas,none
Mt. Washington,,SE Spur,E,3500,140,2.5,1,springsummer,FALSE,5,upto35,TRUE,FALSE,Rock,This is a more challenging climb to the summit of Mt. Washington. 8+ pitches of rock climbing. ,"Cascade Alpine Guide, Volume I by Fred Beckey.Oregon High by Jeff Thomas",none
Mt. Washington,,North Ridge,C,3500,140,2.5,1,summerautumn,FALSE,5,,TRUE,FALSE,Rock,"One of a handful of alpine rock routes in OR, this is a fairly easy day climb - one short pitch of easy 5th class rock then a scramble to the top.  Combine with Three Fingered Jack for an alpine rock weekend.  A rappel on the descent is required.  Wearing old gaitors or duct taping your boot tops is recommended for the scree descent.  The maze of trail crossings near the trailhead can be tricky - pay attention on the way in and perhaps mark the right path for the hike out!  Enjoy a swim in Big Lake when you are done, and try out the occasionally amazing echo with a yell across the lake at night. ",Oregon High by Jeff Thomas,none
Mt. Washington (Olympics),,Standard,B,3500,160,3.5,1,springsummer,FALSE,4,upto35,FALSE,FALSE,Scramble,"Nope, this is not the one in Oregon!  Yet another NW peak with a not-so-creative-name, Mt. Washington is a popular beginners climb fairly close to home.  Yummy Hood Canal aprÌÄåÎÌÄå__ÌÄåÎÌÄå_ÌÄåÎÌâå¢s-climb seafood can be yet another reason to try this peak.  This climb can be combined into a longer day with a traverse of nearby Mt. Ellinor, another popular Mazama route.",Climbers Guide to the Olympic Mountains (3rd Edition) ,Olympic National Forest Headquarters 360-956-2402
Mt. Whitney,,East Buttress,D,6000,600,14,2,summerautumn,TRUE,5,35to50,FALSE,FALSE,Rock,"Hiking/Scramble from Whitney Portal past lower then upper Boyscout lakes to the base of the East Buttress. Rock climbing route is 8 to 11 pitches of up to 5.7 rock climbing, placing gear and building anchors. Descent is 3rd class down The Mountaineers route on the north side of the mountain and back down to the lakes.","Steve Roper TheClimbers Guide to the High Sierra, 1976 Sierra Club Books. ISBN 0-87156-147-6 (A brief route description and window into the mindset of early Sierra climbers) R.J. Secor The High Sierra: Peaks, Passes and Trails, 1999 The Mountaineers.",
Mt. Whitney,,Mountaineer's Route,B,8400,,,2,summerautumn,TRUE,3,,FALSE,FALSE,Scramble,Mt. Whitney is the highest mountain in the continental United States.,,
Mt. Whittier,,Norway Pass Traverse,A,3300,150,2.5,1,summerautumn,FALSE,3,,FALSE,FALSE,Scramble,"Mt. Whittier is the highest point in the Mt. Margaret Backcountry located north of Mt. St. Helens and Spirit Lake.  This area took the brunt of the mountain's lateral blast in 1980 ÌÄåÎÌÄå__ÌÄåÎÌÄå_ÌÄå´Ìâå± scouring the ridgetop down to the bedrock and toppling thousands of acres of forest.  Slowly recovering years later, scars of the eruption are everywhere.  The views of the St. Helens crater and Spirit Lake across the valley are some of the best anywhere in the monument.   The Traverse includes a loop out through the lake basin area, ascends the ridge, tagging Mt. Whittier and nearby Mt. Margaret and returns on the Boundary Trail (~15mi RT - pack light!).  This is a great area to go for autumn colors and to see the elk.  A fixed line may be required along some sections of the knife-ridge - particularly if the rock is wet.",Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,Mt. St. Helens Monument HQ: 360-449-7800 Gifford Pinchot National Forest HQ: 360-891-5000
Mt. Williamson,,West Face,B,8075,750,13,2,summerautumn,FALSE,3,,FALSE,FALSE,Rock,"From Shepard's Pass trail head follow the trail ~7 miles to Shepard's Pass at 12000'. This can be broken up into 2 days by staying at Anvil Camp at 10800'. Descent 300' into Williamson Basin- camping available near the lakes. Ascend the west face to black water stains and enter a 1000' chute. At the top of the chute, climb 1 pitch of 3rd class to gain the summit plateau. A permit is required- either reserved 6 months ahead or take your chances with a walk in day of your climb. Williamson is usually done with neighboring Mt Tyndall.",Climbing Californias Fourteeners Porcella and Burns,"Inyo Forest, Bishop, CA 760-873-2400"
Mt. Wow,,SW Ridge ,A,3900,160,3,1,summerautumn,FALSE,4,,FALSE,FALSE,Scramble,Mt. Wow is located in the southwest corner of Mt. Rainier National Park and derives its name from the expression that pops into mind when Mt. Rainier suddenly comes into view on gaining the south ridge.  Several beautiful alpine meadows adorn Wow's southern slopes and on a good day the views of Rainier and the surrounding peaks are outstanding.  Reaching the summit involves some amount of Scramble and route-finding.  May require a fixed line depending on party strength.  Loop route possible coming up the SW ridge and descending past Lake Allen. ,Cascade Alpine Guide: Columbia River to Stevens Pass by Fred BeckeyClimbing Washington's Mountains by Jeff Smoot75 Scrambles in Washington by Peggy Goldman,"Mt Rainer NP, Park HQ: 360-569-2211 ext 2334 "
Mt. Yoran,,Standard Route,A,1800,180,3,1,summerautumn,FALSE,4,,FALSE,FALSE,Scramble,"A rock scramble, mostly easy 3rd and short bit of steeper 4th class.  Minimal technical skills are required, and at only an 1800 foot elevation gain, this one ought to be within range for most anyone!",Climbers Guide to Oregon by Nicholas Dodge,none
Naches Peak,,Chinook Pass,B,2200,170,3,1,summerautumn,FALSE,3,,FALSE,FALSE,Scramble,"From Chinook Pass hike the PCT approximately 80 yards and take a footpath heading towards Naches. Take left forks at 5650 ft and 5750 ft to the ridge. Continue on the ridge to an open slope on the right. Hike a rising traverse to a footpath which leads to a series of several rock steps (approx. 15 ft. total)> Climb the ridge to an 8 ft. down climb and continue on the left side of the ridge to the summit of Naches. For Tahtlum, retrace your route to the PCT and turn right. Follow the PCT south to approx. 5900 ft. and head left cross-country toward Tahtlum Peak on a climbers footpath.","Cascade Alpine Guide, vol. 1 by Fred BeckeyGuide to 100 Peaks at Mt. Rainier, Mountaineers",Wenatchee National Forest: 509-653-1400
Needlepoint,,Cache Lake,A,,350,7,2,summerautumn,FALSE,,,FALSE,FALSE,Scramble,Needlepoint is the 3rd highest peak in the southern Wallowas.,,"Wallowa Mountains Visitor Center, Enterprise, OR"
North Early Winter Spire,,NW Corner - Boving Route,E,2200,340,7,1,summerautumn,FALSE,5,,TRUE,FALSE,Rock,A stout rock climb on a NW classic.  Required skiils:  trad leading with moves up to 5.9,Climbs in the Cascades Vol. 1 by Nelson and PotterfieldCascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey,
North Early Winter Spire,,South Face,E,2200,340,7,1,summerautumn,FALSE,5,,TRUE,FALSE,Rock,"Nice moderate climb in the best alpine rock area in the state with short approaches - sign me up!  This climb involves low 5th class moves, some cracks and friction, separated by sections of 4th and 3rd Scramble on solid granite.  Mssr. Beckey and pals climbed these first back in the 1940s. Early season can have snow on the approach - might want to bring an ice axe.  This route is a L O N G  way from Portland, and it's kinda silly to drive all that way to climb a few pitches of rock.  Make a weekend of it and combine this other classics in the area like Liberty Bell.",Climbs in the Cascades Vol. 1 by Nelson and Potterfield Cascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey,none
North Gardner Mountain,,Wolf Creek ,B,8100,360,7.5,2,springsummer,FALSE,3,upto35,FALSE,FALSE,Scramble,"Gardner and North Gardner Mountains form the highest point in the Methow Mountains, near the town of Winthrop.  This route requires minimal technical skills.",75 Scrambles in Washington by Peggy GoldmanCascade Alpine Guide: Rainy Pass to Fraser River ÌÄåÎÌÄå__ by Fred Beckey,"Okanogan National Forest, Methow Valley Ranger Station in Twisp, WA 509-997-2131"
North Sister,,SE Ridge,C,5000,170,3,2,summerautumn,TRUE,5,35to50,TRUE,FALSE,rockandsnow,"The SE ridge approach to the summit block of North Sister offers a more direct line to the top than the standard on the Hayden glacier leading to the SW ridge route.  While this is not recognized as a distinct route in the bookOregon High, the climb up until the last few hundred feet is completely different, and therefore it merits its own route description. ",Oregon High by Jeff Thomas,"Deschutes National Forest, Sisters Ranger District, 541-549-7700"
North Sister,,Northwest Ridge,C,5000,170,3,2,springsummer,TRUE,3,upto35,FALSE,FALSE,Snow,The Northwest Ridge is an easy route which can be safely climbed throughout the year. The crux of the route is climbing Prouty Pinnacle (from ,Oregon High by Jeff Thomas,"Deschutes National Forest, Sisters Ranger District, 541-549-7700 "
North Sister,,Early Morning Couloir,E,5000,170,3,2,springsummer,TRUE,5,35to50,TRUE,FALSE,rockandsnow,"Involves snow climbing with an angle up to 45 degrees, and rock climbing with maximum difficulty of 5.7 or 5.8.  Watch for avalanche danger on this east facing route.",Oregon High by Jeff Thomas,"Deschutes National Forest, Sisters Ranger District, 541-549-7700 "
North Sister,,South Ridge,C,5000,170,3,2,summerautumn,TRUE,4,35to50,TRUE,FALSE,Snow,"Ahh yes, the famous portable handholds of the OR Cascade range.  North Sister, the fourth highest point in OR, and toughest of the Three Sisters, requires a range of climbing abilities and gear.  The route is unpredictable - can be anything from exposed ice to moderate snow and 3rd class rock.  Later season tends to be easier conditions.  Large parties can take a long time on this route.",Oregon High by Jeff Thomas,"Deschutes National Forest, Sisters Ranger District, 541-549-7700"
North Twin,,West Ridge,B,4600,278,5,1,springsummer,FALSE,4,upto35,FALSE,FALSE,Scramble,"Hike or bike through private timber land, dodging logging trucks, to access the ridge scramble. Many climbers descend via the North Ridge.",,"Although the logging Roads are gated, and locked they are open to the public for non motor vehicle use. For further road information call the Campbell Group at 360.336.9733"
North Twin Sister,,West Ridge,B,5100,270,6,1,summerautumn,FALSE,5,upto35,FALSE,FALSE,rockandsnow,From Summitpost.com:,Cascade Alpine Guide: Rainy Pass to Fraser River by Fred BeckeyClassic Climbs of the Northwest by Alan Kearney,none
Observation Rock,,Standard Ice Route,B,,200,4.5,1,springsummer,FALSE,3,35to50,FALSE,FALSE,Snow,"Observation Rock is an apt name for this remnant vent on the north side of Rainier, about 4 miles NNW of Rainier's summit crater.  Understandably, Ob Rock's summit provides unmatched views of the north faces and glaciers of Rainier.  Even with its friable nature, Ob Rock is a popular objective. This route is a beginner ice climb on a north-facing ice sheet.  The peak can be climbed in a day from the Mowich Lake trailhead.  Some crevasses exist but these are mostly avoidable. ",75 Scrambles in Washington by Peggy GoldmanCascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,"Mt Rainer NP, Park HQ: 360-569-2211 ext 2334"
Observation Rock,,Spray Park ,A,3800,275,5,1,springsummer,TRUE,,upto35,FALSE,FALSE,Scramble,"Observation Rock is an apt name for this remnant vent on the north side of Rainier, about 4 miles NNW of Rainier's summit crater.  Understandably, Ob Rock's summit provides unmatched views of the north faces and glaciers of Rainier.  Even with its friable nature, Ob Rock is a popular objective. It even boasts a beginner ice climb on a north-facing ice sheet. The peak presides over Spray Park and is an easy to moderate scramble from there. The peak can be climbed in a day from the Mowich Lake trailhead. Ice axes and crampons are needed later in the season on some of the icefields around its base (this is the Flett Glacier). Some crevasses exist but these are mostly avoidable ",75 Scrambles in Washington by Peggy GoldmanCascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,"Mt Rainer NP, Park HQ: 360-569-2211 ext 2334"
Olallie Butte,,West Side,A,2580,90,2.5,1,summerautumn,FALSE,,,FALSE,FALSE,Scramble,"Trail access starts at Forest Road 4220 under transmission lines a few miles north of Olallie Lake. The trail is not maintained, but it reasonable easy to follow. Olallie Butte is on the Warm Springs Indian Reservation.",,Warm Springs Public Safety 541-553-3272
Old Snowy,,Snowgrass Flats,A,3300,150,2.5,2,summerautumn,TRUE,3,upto35,FALSE,FALSE,Scramble,"Old Snowy is probably the easiest glaciated peak to climb in the NW.  It's not as well known as St. Helens or South Sister, and thus gets a lot fewer climbers.  If you are looking for a gentle approach and non-technical ascent in a beautiful area, this is your peak.  It's in the aptly named Goat Rocks area, between Mts. Adams and Rainier.  Bring the binoculars for mountain goat watching.",Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,USFS Packwood WA information center  360-494-0600
Osceola,,Traverse,B,11500,320,7,2,summerautumn,TRUE,3,,FALSE,FALSE,Scramble,"This scramble route is in the Pasayten Wilderness, on the east side of Rainy Pass and a L O N G way from Portland.",75 Scrambles in Washington by Peggy Goldman,"Okanogan Nat Forest, Methow Valley Ranger District 509-997-2131"
Paulina Peak,,West Saddle,A,2100,210,4,2,summerautumn,FALSE,3,,FALSE,FALSE,Scramble,Take Paulina Peak Trail from trailhead.,,Deschutes National Forest 541 383-5300 Deschutes County Sheriff (Non-Emergency) 541 693-6911
Pete's Point,,Standard,A,5400,330,7,2,summerautumn,FALSE,,,FALSE,FALSE,Scramble,Pete's Point is one of the higher peaks in the Wallowa mountains. It is a technically easy walk up peak. ,75 Scrambles in Oregon by Barbara Bond,"Wallowa-Whitman National Forest, Eagle Cap Ranger District, Wallowa Mountains Visitor Center"
Pinnacle Peak,,East Ridge,C,1700,160,3.5,1,summerautumn,FALSE,5,upto35,TRUE,FALSE,rockandsnow,"Although not the highest of the Tatoosh peaks, Pinnacle's central position and attractive form have made it the most popular ascent in the park. When the Mazamas climbed it on July 26, 1897, they dubbed it the ""Matterhorn of the Cascades.  From Fred Beckey's ",Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey75 Scrambles in Washington by Peggy Goldman,"Mt. Rainier NP, Park HQ: 360-569-2211 ext 2334"
Pinnacle Peak,,Reflection Lakes/Standard Route,A,1700,160,3.5,1,summerautumn,FALSE,3,,FALSE,FALSE,Scramble,"Although not the highest of the Tatoosh peaks, Pinnacle's central position and attractive form have made it the most popular ascent in the park. When the Mazama climbed it on July 26, 1897, they dubbed it the ""Matterhorn of the Cascades.  From Fred Beckey's ",Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey75 Scrambles in Washington by Peggy Goldman,"Mt. Rainier NP, Park HQ: 360-569-2211 ext 2334"
Plummer Peak,,Standard Route,A,1700,160,3.5,1,summerautumn,FALSE,,,FALSE,FALSE,Scramble,"Plummer Peak is usually done in conjunction with Pinnacle. It is a rounded summit just SW of Pinnacle. Plummer involves a 2nd class .25-mi heather scramble from trail's end at the saddle.  It's about the technically easiest ""climb"" the Mazamas ever do!",Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey75 Scrambles in Washington by Peggy Goldman,"Mt. Rainier NP, Park HQ: 360-569-2211 ext 2334"
Prusik Peak,,West Ridge,D,6700,270,5,2,summerautumn,FALSE,5,upto35,TRUE,FALSE,Rock,"ÌÄåÎÌÄå__ÌÄåÎÌÄå_ÌÄåÎÌÄå¢Without question, these routes on Prusik Peak are among the most aesthetic rockClimbs in the rangeÌÄåÎÌÄå__, writes Nelson and Potterfield. This great climb has several moderate 5th class rock pitches on some of the best quality rock in the NW, It's in the beautiful Enchantment Lakes region near Leavenworth WA is in the rain shadow of the Cascades - often dry when the rest of the state is rainy.  The route name comes from the first ascent party lassoing the summit and hauling up the rope for the last few feet.  Forest fires are common in this area in the summer - call the USFS before you leave town to be sure the trails are open.",Climbs in the North Cascades by Nelson and Potterfield Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,USFS Leavenworth Ranger station: 509-548-6997
Ptarmigan Traverse,,North to South,C,11000,340,6,2,summerautumn,TRUE,4,35to50,TRUE,TRUE,Snow,"One of the classic traverses in North America, this route was first completed in 1938 when four members from the Ptarmigan Climbing Club pioneered this alpine trek.  As nearly all the route is off trail, expect routefinding challenges and very few people.   Note: This is not a cross-country hikers' route.  The traverse requires ice axes, crampons and rope; only experienced climbers should attempt it.  Most parties take from five to seven days for the traverse, with the usual start being Cascade Pass.  Most of the peak groupings (Magic-Mixup, Spider-Formidable, Le Conte-Sentinel, Spire-Dome) are about one full day travel apart. Total distance is approximately 40 miles, with 11,000 ft elevation gain, not including any additional peaks that may be climbed.  ",Cascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey,"North Cascades Nat. Park headquarters in Sedro Woolley, WA  360-856-5700"
Pyramid Peak,,Standard,A,4100,150,3,1,summerautumn,FALSE,3,upto35,FALSE,FALSE,Scramble,"Located in magnificent Mount Rainier National Park, Pyramid Peak is a prominent satellite of Mt. Rainier. It is located at the base of Success Cleaver.  Any other place it'd be a fine peak, but standing next to Rainier it appears on be a pimple on an elephant.  Nevertheless, it's a fine ""car to car in a day"" scramble peak with minimal technical requirements.  When you see it, the reason for the name will be obvious.",Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,"Mt Rainer NP, Park HQ: 360-569-2211 ext 2334"
Red Mountain,,SW Slope,A,3000,180,3,1,summerautumn,FALSE,3,,FALSE,FALSE,Scramble,This is a walk up peak near Snoqualmie Pass.,Climbing Washingtons Mountains by Jeff Smoot,none
Red Mountain,,West Face,A,4500,350,7,2,summerautumn,TRUE,3,,FALSE,FALSE,Scramble,Red Mtn. is the highest peak in Baker county Oregon and is part of the Eagle Cap Wilderness area.,100 Hikes: Travel Guide Eastern Oregon by William Sullivan75 Scrambles in Oregon by Barbara Bond,"Wallowa-Whitman National Forest, Eagle Cap Ranger District, Wallowa Mountains Visitor Center"
Rock Creek Butte,Elkhorn Peak (Elkhorn),SW Face,A,6500,300,7,2,summerautumn,FALSE,,,FALSE,FALSE,Scramble,Rock Creek Butte is the highest point in the Blue Mountains of Oregon.  Nearby Elkhorn can be added for a bonus summit.,75 Scrambles in Oregon by Barbara Bond,"Wallowa-Whitman National Forest, Baker Ranger District"
Rooster Rock,,South Face,C,200,25,0.5,1,springsummer,FALSE,5,,TRUE,FALSE,Rock,"Rooster Rock is a well-known 180-foot pillar of Columbia River basalt located below the cliffs of Crown Point at the western end of Rooster Rock State Park. The rock was an ancient Indian place of worship and was originally called Woutoulat. This is probably the rock mentioned by Lewis & Clark as their camping place on November 2, 1805.",,
Ruth Mountain,,Ruth Glacier,B,4000,315,7,2,summerautumn,TRUE,3,upto35,FALSE,FALSE,Scramble,"This is an easy walk up peak, with great views of Mt. Shuksan, is a good novice climb in the North Cascades.  The approach is on well maintained trails. ",Climbs in the North Cascades ÌÄåÎÌÄå__ by Nelson and Potterfield Cascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey Climbing Washington's Mountains by Jeff Smoot,none
Sahale Peak,,Quien Sabe Glacier,B,5500,310,6,2,summerautumn,TRUE,5,upto35,TRUE,FALSE,rockandsnow,This is one of the standard routes up Sahale Peak. Sahale Peak give you incredible views of the North Cascades. Short bit of 5th class climbing on the summit block.,Cascade Alpine Guide: Stevens Pass to Rainy Pass ÌÄåÎÌÄå__ by Fred Beckey Climbs in the Cascades Vol. 2 by Nelson and PotterfieldClimbing Washington's Mountains by Jeff Smoot,Marblemount NPS Ranger Station 360-873-4590
Sahale Peak,,Sahale Arm - Cascade Pass,B,5500,310,6,2,summerautumn,TRUE,4,upto35,FALSE,FALSE,Snow,"This is an moderate ascent of a gentle peak in the Cascade Pass area in central WA, with outstanding views and classic alpine terrain: a nice approach trail, a short bit of glacier travel, and some 4th class rock Scramble on the summit block.  While commonly done with a high camp, it can be climbed car-to-car in a long day.",Cascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey Climbs in the Cascades Vol. 2 by Nelson and PotterfieldClimbing Washington's Mountains by Jeff Smoot,Marblemount NPS Ranger Station 360-873-4590
Sawtooth Mountain,,East Ridge,C,5886,445,8,2,springsummer,,5,35to50,TRUE,,rockandsnow,Hike 8 miles on Canyon Creek trail to Lower Canyon Creek Lake. Hike 2 miles on climbers trail past Upper Canyon Creek Lake to Ell Lake.,,
Seven Fingered Jack,,Southwest Slope,B,6900,310,6,2,summerautumn,TRUE,3,,FALSE,FALSE,Scramble,"3rd class scramble. Need to have a helmet and usual bivy stuff. From Leroy Basin camp - Scramble, scree, boulders - loose rock.","75 Scrambles in Washington by Peggy GoldmanCascade Alpine Guide, Volume II, Stevens Pass to Rainy Pass by Fred Beckey",none
Shastina,,Cascade Gulch,B,5600,375,6.5,2,summerautumn,TRUE,3,upto35,FALSE,FALSE,Snow,"This peak is a slightly smaller volcanic cone of it's big brother, Mt Shasta.",The Mt. Shasta Book by Selters and Zanger,The Fifth Season (Shasta City mountain shop) weather and climb conditions info line: (916) 221-5613.
Sheep Gap Mountain,,North Peak,B,3600,250,4.5,2,summerautumn,FALSE,4,,TRUE,FALSE,Rock,"This peak is in the Monte Cristo area, a popular climb destination and historic mining area.",Cascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey ,USFS Darrington Ranger District Office: 360-436-1155
Sherpa Peak,,South Side,B,5300,225,5,2,summerautumn,TRUE,4,upto35,FALSE,FALSE,Scramble,"While Sherpa Peak may not look like much when seen from it's massive neighbor Mt. Stuart, Sherpa is still a fine climb.  (Think of Little Tahoma Peak next to Mt. Rainier.)  The South Face is the easiest route on Sherpa, with some 4th class rock moves.  For a slightly more ambitious route, try the West Ridge, with 400 feet of so of 5th class rock.  Being east of the Cascade crest, this area is often drier than peaks further west. ",Climbing Washington's Mountains by Jeff Smoot Climbs in the Cascades Vol. 2 by Nelson and Potterfield Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,"USFS Leavenworth Ranger station: 509-548-6997, USFS Cle Elum Ranger Station, 509-852-1100"
Silver Star Mountain,,Silver Star Glacier,B,4900,340,7,2,summerautumn,TRUE,3,upto35,FALSE,TRUE,Snow,"Located east of the Cascade crest, this peak can have markedly better weather than the rest of the range.  At close to 9,000 feet, its one of the highest peaks in the Washington Pass area.  Beckey describes Silver Star Mountain as ""the alpine climax of the Methow Mountains...a grand mountain fortress of magnificent diversity.""  Note: It's a LONG drive to this peak from Portland!","Climbs in the North Cascades, Vol 1 by Nelson and Potterfield Cascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey Climbing Washington's Mountains by Jeff Smoot",none
Skyscraper Mountain,,Shadow Lake,A,3000,185,3.5,1,springsummer,FALSE,3,upto35,FALSE,FALSE,Scramble,Skyscraper and Burroughs Mountain are two smaller satellite peaks located on the northeast side of Mt. Rainier just west of Sunrise.  Burroughs is the taller of the two with three separate summit areas with outstanding views from the highest down onto the Winthrop Glacier.  Easy rock Scramble and beautiful alpine meadows.  For a longer day out begin at the White River campground. ,Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,"Mt Rainer NP, Park HQ: 360-569-2211 ext 2334"
Sloan Peak,,Corkscrew Route ,C,6000,260,5.5,2,summerautumn,TRUE,4,upto35,FALSE,TRUE,Snow,"Located in the central WA Cascades, Sloan Peak is the highest summit west of Glacier Peak.  Beckey calls it the ÌÄåÎÌÄå__ÌÄåÎÌÄå_ÌÄåÎÌÄå¢Matterhorn of the Cascades.ÌÄåÎÌÄå__  This climb involves moderate snow and glacier travel and some steeper 4th class rock.  Recent reports say the access trail (Sloan Peak Trail # 648) is in bad shape due to a lack of maintenance and avalanche damage.  Prepare for up to four river crossings and for attentive navigation to stay on the approach route.",Cascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey,USFS Darrington Ranger station: 360-436-1155
Snoqualmie Mountain,,South Ridge,A,4200,180,3.5,1,summerautumn,FALSE,3,,FALSE,FALSE,Scramble,"A prominent peak just off the Interstate at Snoqualmie Pass, an easy scramble route leads to the top. ",75 Scrambles in Washington by Peggy GoldmanCascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,"Mt. Baker-Snoqualmie NF, North Bend Office, 425-888-1421"
